osm_id,damage,prediction
304483226,1,1
304483227,1,1
304483228,1,0
304483229,1,0
304483230,1,1
304483231,1,1
304483232,1,1
304483233,1,0
304483234,1,0
304483235,1,1
304483236,1,0
304483237,1,0
304483238,0,0
304483244,0,0
304483245,0,1
306926907,0,0
306926908,0,1
306926910,1,1
306926911,0,0
306926913,1,0
306926915,0,0
306926916,0,0
306926917,1,0
307066230,0,0
307066231,0,0
307066234,0,0
307066235,0,0
307066237,1,0
307066238,0,0
307068222,0,1
307068223,0,0
307068225,1,1
307068228,0,1
307068230,0,1
307068232,0,1
307068233,0,1
971360254,0,1
1015866107,1,0
1015866108,1,0
1015866109,1,1
1015866110,1,1
1015866112,1,0
1015866113,1,0
1015866114,1,0
1015866115,1,1
1015866116,1,0
1015866117,0,0
1015866118,0,0
1015866119,0,1
1015866120,0,0
1015866121,0,1
1015866122,0,1
1015866123,0,0
1015866124,0,0
1015866125,0,0
1015866126,1,1
1015866127,0,1
1015866128,0,1
1015866129,1,0
1015866130,1,1
1015866177,0,0
1018453519,0,1
1018453531,0,1
1058944576,1,1
1058944577,1,1
1082086655,0,1
1082086656,1,1
1082086657,0,0
1082086658,1,0
1082086659,1,0
1218555580,1,0
1226055975,1,1
1226880981,1,0
